transaction_id,timestamp,sender_bank,amount,channel,location,device_type,is_fraud
TRX-1000023,2024-01-24 04:18:00,Moniepoint,19419.78,Web,Lagos,iPhone,0
TRX-1000024,2024-01-04 23:46:00,Zenith,113182.18,Mobile App,Port Harcourt,Feature Phone,0
TRX-1000025,2024-01-15 10:08:00,Zenith,14917.89,POS,Abuja,Web,0
TRX-1000026,2024-01-30 18:22:00,Kuda,335073.55,Mobile App,Port Harcourt,iPhone,0
TRX-1000027,2024-01-15 06:36:00,Zenith,19244.37,USSD,Port Harcourt,Web,0
TRX-1000028,2024-01-31 03:55:00,Kuda,4056.28,Web,Ibadan,Feature Phone,0
TRX-1000029,2024-01-06 06:53:00,Kuda,9423.91,POS,Kano,Android,0
TRX-1000030,2024-01-29 05:16:00,OPay,9649.08,Web,Abuja,Android,0
TRX-1000031,2024-01-02 07:51:00,Kuda,192425.36,USSD,Enugu,Feature Phone,0
TRX-1000032,2024-01-11 10:01:00,Moniepoint,1781.89,USSD,Enugu,Feature Phone,0
TRX-1000033,2024-01-20 22:04:00,Kuda,133414.81,Web,Ibadan,Web,0
TRX-1000034,2024-01-30 17:46:00,Access,2972.47,USSD,Abuja,iPhone,0
TRX-1000035,2024-01-05 15:33:00,Moniepoint,19850.18,Mobile App,Lagos,Web,0
TRX-1000036,2024-01-16 00:15:00,GTBank,13764.74,POS,Kano,Web,0
TRX-1000037,2024-01-04 14:35:00,Kuda,6455.54,Mobile App,Kano,Web,0
TRX-1000038,2024-01-24 21:24:00,Moniepoint,435045.19,USSD,Lagos,Feature Phone,0
TRX-1000039,2024-01-23 12:08:00,Zenith,262303.43,Web,Lagos,iPhone,0
TRX-1000040,2024-01-22 17:37:00,Kuda,1428.86,Mobile App,Abuja,Feature Phone,0
TRX-1000041,2024-01-31 12:03:00,Moniepoint,10052.1,Mobile App,Port Harcourt,iPhone,0
TRX-1000042,2024-01-02 17:49:00,Zenith,18149.26,USSD,Lagos,Feature Phone,0
TRX-1000043,2024-01-11 03:04:00,GTBank,17975.77,USSD,Abuja,Web,0
TRX-1000044,2024-01-17 00:33:00,Moniepoint,93172.82,USSD,Ibadan,Feature Phone,0
TRX-1000045,2024-01-22 06:01:00,Access,1663.53,Mobile App,Kano,Web,0
TRX-1000046,2024-01-31 19:51:00,Kuda,14555.63,USSD,Lagos,Web,0
TRX-1000047,2024-01-09 00:12:00,OPay,19823.73,USSD,Kano,Android,0
TRX-1000048,2024-01-07 12:23:00,GTBank,7371.55,Mobile App,Port Harcourt,Android,0
TRX-1000049,2024-01-18 01:02:00,OPay,358511.08,USSD,Lagos,Feature Phone,0
TRX-1000050,2024-01-22 19:19:00,OPay,11911.4,Mobile App,Lagos,Feature Phone,0
TRX-1000051,2024-01-10 14:33:00,Access,12383.69,POS,Abuja,Feature Phone,0
TRX-1000052,2024-01-16 00:52:00,GTBank,475411.06,USSD,Port Harcourt,Web,1
TRX-1000053,2024-01-10 21:08:00,Access,6704.11,USSD,Ibadan,Android,0
TRX-1000054,2024-01-16 04:21:00,OPay,18507.39,POS,Enugu,Feature Phone,0
TRX-1000055,2024-01-10 12:16:00,Access,11366.9,POS,Ibadan,Web,0
TRX-1000056,2024-01-31 06:28:00,GTBank,402439.53,POS,Enugu,Feature Phone,0
TRX-1000057,2024-01-04 04:24:00,Access,3214.19,Mobile App,Abuja,Android,0
TRX-1000058,2024-01-17 17:28:00,GTBank,1143.3,POS,Ibadan,Feature Phone,0
TRX-1000059,2024-01-03 14:22:00,Zenith,370628.07,POS,Lagos,iPhone,0
TRX-1000060,2024-01-06 02:51:00,Zenith,8540.53,Mobile App,Kano,Feature Phone,0
TRX-1000061,2024-01-29 00:42:00,Zenith,14584.56,POS,Kano,Feature Phone,0
TRX-1000062,2024-01-29 10:34:00,OPay,14373.55,Mobile App,Lagos,iPhone,0
TRX-1000063,2024-01-13 01:56:00,OPay,12085.79,USSD,Enugu,Android,0
TRX-1000064,2024-01-02 05:08:00,Zenith,11750.12,POS,Port Harcourt,Android,0
TRX-1000065,2024-01-29 14:39:00,GTBank,10077.26,Mobile App,Enugu,Feature Phone,0
TRX-1000066,2024-01-18 15:28:00,Zenith,358053.73,POS,Abuja,iPhone,0
TRX-1000067,2024-01-21 06:54:00,Moniepoint,16143.72,Web,Kano,Feature Phone,0
TRX-1000068,2024-01-10 07:06:00,GTBank,8053.31,POS,Ibadan,iPhone,0
TRX-1000069,2024-01-15 21:43:00,Kuda,7490.27,Mobile App,Abuja,Android,0
TRX-1000070,2024-01-04 15:03:00,Access,19538.44,Mobile App,Port Harcourt,Android,0
TRX-1000071,2024-01-02 17:04:00,GTBank,18897.95,POS,Abuja,Feature Phone,0
TRX-1000072,2024-01-12 10:10:00,GTBank,13085.96,USSD,Lagos,Android,0
TRX-1000073,2024-01-28 09:10:00,OPay,10721.48,Web,Lagos,Android,0
TRX-1000074,2024-01-10 07:21:00,Zenith,479144.41,USSD,Lagos,Android,0
TRX-1000075,2024-01-18 12:48:00,Access,19593.98,USSD,Port Harcourt,Web,0
TRX-1000076,2024-01-13 05:47:00,Moniepoint,1069.03,Mobile App,Enugu,Feature Phone,0
TRX-1000077,2024-01-29 13:44:00,Zenith,15113.34,Web,Kano,Android,0
TRX-1000078,2024-01-13 08:06:00,GTBank,165633.51,Web,Ibadan,iPhone,0
TRX-1000079,2024-01-08 01:01:00,Moniepoint,17167.59,Web,Ibadan,Android,0
TRX-1000080,2024-01-20 01:15:00,Access,14829.6,Web,Lagos,Web,0
TRX-1000081,2024-01-07 07:40:00,OPay,473160.8,Web,Abuja,Web,0
TRX-1000082,2024-01-04 07:37:00,OPay,9336.21,USSD,Ibadan,iPhone,0
TRX-1000083,2024-01-15 01:22:00,Zenith,293611.08,USSD,Ibadan,iPhone,1
TRX-1000084,2024-01-17 17:42:00,OPay,11854.0,Mobile App,Lagos,Feature Phone,0
TRX-1000085,2024-01-01 05:19:00,Zenith,5898.53,POS,Kano,iPhone,0
TRX-1000086,2024-01-30 08:01:00,Moniepoint,18855.66,POS,Abuja,Web,0
TRX-1000087,2024-01-06 07:34:00,GTBank,3190.01,USSD,Abuja,Web,0
TRX-1000088,2024-01-21 13:20:00,GTBank,7860.49,Mobile App,Abuja,iPhone,0
TRX-1000089,2024-01-13 01:23:00,OPay,1882.93,USSD,Port Harcourt,iPhone,0
TRX-1000090,2024-01-20 18:42:00,OPay,18895.05,Mobile App,Port Harcourt,Feature Phone,0
TRX-1000091,2024-01-29 03:45:00,Moniepoint,8914.12,POS,Lagos,Feature Phone,0
TRX-1000092,2024-01-06 00:14:00,Kuda,16663.13,Web,Lagos,Feature Phone,0
TRX-1000093,2024-01-28 19:08:00,Zenith,7499.13,POS,Enugu,Web,0
TRX-1000094,2024-01-24 23:28:00,Access,6675.08,POS,Lagos,Android,0
TRX-1000095,2024-01-21 11:18:00,GTBank,18110.49,POS,Kano,Web,0
TRX-1000096,2024-01-05 10:09:00,GTBank,256945.61,Web,Port Harcourt,Web,1
TRX-1000097,2024-01-06 03:58:00,Moniepoint,18036.6,Web,Kano,Web,0
TRX-1000098,2024-01-19 20:02:00,Moniepoint,4503.49,Web,Abuja,Web,0
TRX-1000099,2024-01-29 17:56:00,Kuda,322798.54,Mobile App,Port Harcourt,Web,0
TRX-1000100,2024-01-30 07:52:00,Kuda,6210.82,POS,Enugu,Web,0
TRX-1000101,2024-01-30 14:14:00,Zenith,5790.49,Web,Port Harcourt,iPhone,0
TRX-1000102,2024-01-27 14:19:00,OPay,435684.15,POS,Port Harcourt,iPhone,0
TRX-1000103,2024-01-30 05:04:00,Zenith,5873.87,Web,Port Harcourt,Feature Phone,0
TRX-1000104,2024-01-06 02:12:00,Moniepoint,4101.04,POS,Enugu,Web,0
TRX-1000105,2024-01-22 09:29:00,OPay,12085.37,Mobile App,Lagos,Feature Phone,0
TRX-1000106,2024-01-27 10:51:00,Moniepoint,423747.81,Web,Enugu,Android,1
TRX-1000107,2024-01-15 02:17:00,Kuda,19842.77,Mobile App,Enugu,Web,0
TRX-1000108,2024-01-19 18:01:00,Access,11956.65,Mobile App,Kano,Feature Phone,0
TRX-1000109,2024-01-21 13:30:00,GTBank,8294.47,POS,Port Harcourt,Web,0
TRX-1000110,2024-01-31 17:01:00,Access,111663.46,Mobile App,Enugu,iPhone,0
TRX-1000111,2024-01-15 20:01:00,Moniepoint,2478.89,Web,Kano,iPhone,0
TRX-1000112,2024-01-19 12:05:00,Zenith,352029.37,Web,Abuja,Feature Phone,0
TRX-1000113,2024-01-15 08:00:00,OPay,257924.13,Mobile App,Lagos,Web,0
TRX-1000114,2024-01-18 23:36:00,Zenith,10651.97,USSD,Enugu,Web,0
TRX-1000115,2024-01-11 03:43:00,Moniepoint,17129.59,Mobile App,Abuja,iPhone,0
TRX-1000116,2024-01-23 10:15:00,Kuda,19258.55,POS,Lagos,Android,0
TRX-1000117,2024-01-07 22:48:00,Moniepoint,16476.6,Mobile App,Abuja,Feature Phone,0
TRX-1000118,2024-01-13 17:46:00,Access,13503.47,Mobile App,Lagos,Android,0
TRX-1000119,2024-01-17 07:55:00,Kuda,15628.24,USSD,Lagos,Feature Phone,0
TRX-1000120,2024-01-17 05:16:00,Access,62466.62,USSD,Lagos,Feature Phone,0
TRX-1000121,2024-01-29 08:59:00,Kuda,3440.42,Web,Enugu,Feature Phone,0
TRX-1000122,2024-01-26 19:39:00,Kuda,9086.26,POS,Port Harcourt,Feature Phone,0
TRX-1000123,2024-01-03 21:01:00,GTBank,15482.63,USSD,Abuja,Android,0
TRX-1000124,2024-01-17 16:09:00,OPay,6545.78,Web,Kano,Feature Phone,0
TRX-1000125,2024-01-28 08:30:00,Access,15317.1,Web,Abuja,Android,0
TRX-1000126,2024-01-10 13:40:00,Zenith,19547.23,Web,Abuja,Feature Phone,0
TRX-1000127,2024-01-14 05:58:00,Access,177277.31,USSD,Kano,Android,0
TRX-1000128,2024-01-25 11:31:00,Kuda,386279.13,POS,Enugu,Android,0
TRX-1000129,2024-01-26 16:09:00,Kuda,8880.53,Web,Ibadan,Feature Phone,0
TRX-1000130,2024-01-02 03:29:00,Moniepoint,19240.37,USSD,Abuja,Feature Phone,0
TRX-1000131,2024-01-25 20:25:00,OPay,18505.96,Mobile App,Port Harcourt,Web,0
TRX-1000132,2024-01-26 15:23:00,Moniepoint,14477.47,POS,Port Harcourt,iPhone,0
TRX-1000133,2024-01-24 03:53:00,Access,7395.81,USSD,Lagos,Web,0
TRX-1000134,2024-01-20 04:19:00,Moniepoint,8009.12,Web,Kano,Android,0
TRX-1000135,2024-01-04 08:45:00,OPay,311552.18,Web,Kano,Android,0
TRX-1000136,2024-01-30 07:49:00,GTBank,5032.6,Mobile App,Enugu,Web,0
TRX-1000137,2024-01-08 09:56:00,Kuda,19320.41,POS,Ibadan,Android,0
TRX-1000138,2024-01-17 08:51:00,GTBank,427636.12,USSD,Abuja,iPhone,0
TRX-1000139,2024-01-02 04:16:00,Zenith,458788.62,Mobile App,Port Harcourt,Feature Phone,0
TRX-1000140,2024-01-13 15:55:00,GTBank,16110.16,POS,Lagos,Feature Phone,0
TRX-1000141,2024-01-19 01:14:00,GTBank,15872.81,USSD,Lagos,Android,0
TRX-1000142,2024-01-22 14:20:00,Zenith,14043.47,Mobile App,Enugu,iPhone,0
TRX-1000143,2024-01-31 22:25:00,Kuda,7721.21,Web,Kano,Web,0
TRX-1000144,2024-01-03 01:16:00,OPay,12972.88,Mobile App,Kano,iPhone,0
TRX-1000145,2024-01-08 12:48:00,OPay,6181.94,USSD,Enugu,Android,0
TRX-1000146,2024-01-10 13:54:00,GTBank,309050.35,POS,Ibadan,Android,0
TRX-1000147,2024-01-24 02:02:00,Kuda,16640.85,POS,Ibadan,Web,0
TRX-1000148,2024-01-22 00:30:00,GTBank,2906.61,USSD,Abuja,Feature Phone,0
TRX-1000149,2024-01-19 13:14:00,OPay,13442.4,Mobile App,Kano,iPhone,0
TRX-1000150,2024-01-01 03:59:00,Zenith,411943.76,Web,Lagos,Web,1
TRX-1000151,2024-01-03 14:47:00,Moniepoint,13567.89,POS,Ibadan,Feature Phone,0
TRX-1000152,2024-01-23 02:37:00,Zenith,9907.14,Web,Lagos,iPhone,0
TRX-1000153,2024-01-27 20:41:00,Access,11782.55,Mobile App,Kano,iPhone,0
TRX-1000154,2024-01-29 08:44:00,Kuda,2209.48,POS,Lagos,Android,0
TRX-1000155,2024-01-01 03:00:00,Kuda,7306.35,Mobile App,Lagos,Android,0
TRX-1000156,2024-01-30 06:50:00,Kuda,3354.39,Web,Kano,Web,0
TRX-1000157,2024-01-10 08:49:00,Access,15623.35,USSD,Ibadan,iPhone,0
TRX-1000158,2024-01-11 08:29:00,Kuda,19421.79,POS,Kano,Feature Phone,0
TRX-1000159,2024-01-17 10:19:00,OPay,18860.4,USSD,Ibadan,Android,0
TRX-1000160,2024-01-22 19:17:00,Zenith,355000.39,POS,Kano,Feature Phone,0
TRX-1000161,2024-01-26 10:37:00,Moniepoint,5821.27,POS,Ibadan,Feature Phone,0
TRX-1000162,2024-01-23 13:48:00,Access,8862.31,Web,Ibadan,Web,0
TRX-1000163,2024-01-14 21:18:00,GTBank,853.4,Web,Ibadan,Web,0
TRX-1000164,2024-01-26 07:11:00,GTBank,12416.26,USSD,Abuja,Android,0
TRX-1000165,2024-01-30 22:42:00,Kuda,5743.45,Web,Port Harcourt,Android,0
TRX-1000166,2024-01-28 10:48:00,Kuda,6912.92,POS,Lagos,Feature Phone,0
TRX-1000167,2024-01-08 21:39:00,Zenith,15712.36,Web,Kano,Feature Phone,0
TRX-1000168,2024-01-14 16:08:00,OPay,4101.94,Mobile App,Abuja,Feature Phone,0
TRX-1000169,2024-01-05 08:16:00,Moniepoint,3628.35,USSD,Enugu,iPhone,0
TRX-1000170,2024-01-03 04:58:00,Access,7020.59,Web,Ibadan,iPhone,0
TRX-1000171,2024-01-30 10:24:00,Kuda,176072.63,Web,Kano,Android,0
TRX-1000172,2024-01-03 20:07:00,GTBank,9905.63,USSD,Lagos,Feature Phone,0
TRX-1000173,2024-01-21 02:25:00,Moniepoint,11346.27,Web,Ibadan,iPhone,0
TRX-1000174,2024-01-09 04:23:00,Zenith,12667.39,Web,Ibadan,iPhone,0
TRX-1000175,2024-01-11 19:56:00,OPay,10536.55,Mobile App,Lagos,Feature Phone,0
TRX-1000176,2024-01-09 16:41:00,GTBank,18145.72,Mobile App,Ibadan,iPhone,0
TRX-1000177,2024-01-06 06:12:00,Zenith,6609.87,USSD,Kano,Web,0
TRX-1000178,2024-01-26 06:28:00,Access,4902.14,POS,Abuja,Android,0
TRX-1000179,2024-01-26 23:00:00,Kuda,1067.28,POS,Ibadan,Web,0
TRX-1000180,2024-01-26 11:37:00,OPay,14288.2,USSD,Kano,Android,0
TRX-1000181,2024-01-07 19:10:00,Moniepoint,439100.83,Web,Kano,Feature Phone,0
TRX-1000182,2024-01-10 01:13:00,OPay,6042.63,Mobile App,Kano,iPhone,0
TRX-1000183,2024-01-03 03:10:00,GTBank,3830.77,Mobile App,Abuja,Feature Phone,0
TRX-1000184,2024-01-11 08:23:00,Moniepoint,13483.54,POS,Lagos,Android,0
TRX-1000185,2024-01-31 01:02:00,Access,15368.54,POS,Lagos,iPhone,0
TRX-1000186,2024-01-13 03:26:00,GTBank,2876.18,USSD,Enugu,Web,0
TRX-1000187,2024-01-13 08:10:00,Access,19238.24,Mobile App,Port Harcourt,Android,0
TRX-1000188,2024-01-14 00:25:00,OPay,16848.85,Web,Ibadan,iPhone,0
TRX-1000189,2024-01-27 11:04:00,Zenith,9853.8,Mobile App,Abuja,Feature Phone,0
TRX-1000190,2024-01-31 02:08:00,GTBank,267575.63,Mobile App,Enugu,Feature Phone,0
TRX-1000191,2024-01-30 04:44:00,OPay,10440.42,USSD,Enugu,Web,0
TRX-1000192,2024-01-31 08:05:00,GTBank,17285.84,POS,Ibadan,Android,0
TRX-1000193,2024-01-13 13:24:00,Zenith,19497.73,USSD,Enugu,Web,0
TRX-1000194,2024-01-26 14:56:00,Access,14566.93,Mobile App,Lagos,Feature Phone,0
TRX-1000195,2024-01-15 09:00:00,Kuda,6969.73,USSD,Port Harcourt,iPhone,0
TRX-1000196,2024-01-02 00:34:00,Moniepoint,1229.89,USSD,Enugu,Feature Phone,0
TRX-1000197,2024-01-28 19:12:00,Kuda,788.73,Mobile App,Ibadan,iPhone,0
TRX-1000198,2024-01-04 13:32:00,Kuda,5256.82,Web,Abuja,Android,0
TRX-1000199,2024-01-12 05:24:00,Kuda,137933.59,Mobile App,Lagos,iPhone,0
TRX-1000200,2024-01-25 00:22:00,OPay,413632.3,Mobile App,Kano,Web,0
TRX-1000201,2024-01-04 15:02:00,Kuda,11873.57,Mobile App,Port Harcourt,Feature Phone,0
TRX-1000202,2024-01-11 13:04:00,OPay,15625.19,POS,Ibadan,Feature Phone,0
TRX-1000203,2024-01-09 23:46:00,Moniepoint,18500.01,POS,Kano,Feature Phone,0
TRX-1000204,2024-01-17 10:25:00,Kuda,2350.42,POS,Ibadan,Android,0
TRX-1000205,2024-01-03 09:27:00,GTBank,10722.25,Web,Ibadan,Android,0
TRX-1000206,2024-01-03 09:47:00,Access,5784.1,Web,Abuja,Feature Phone,0
TRX-1000207,2024-01-22 11:10:00,OPay,17389.13,POS,Abuja,Feature Phone,0
TRX-1000208,2024-01-06 22:04:00,OPay,9276.52,Web,Abuja,Feature Phone,0
TRX-1000209,2024-01-24 06:32:00,Zenith,7143.18,Mobile App,Enugu,iPhone,0
TRX-1000210,2024-01-25 10:13:00,Kuda,7987.75,Web,Abuja,Feature Phone,0
TRX-1000211,2024-01-20 16:35:00,GTBank,19216.46,POS,Ibadan,Android,0
TRX-1000212,2024-01-20 11:08:00,OPay,185108.38,POS,Kano,Android,0
TRX-1000213,2024-01-01 11:44:00,Zenith,269145.42,Web,Ibadan,iPhone,1
TRX-1000214,2024-01-09 05:16:00,Access,6433.87,Mobile App,Ibadan,iPhone,0
TRX-1000215,2024-01-28 10:38:00,Moniepoint,247288.0,USSD,Lagos,Web,0
TRX-1000216,2024-01-07 01:32:00,Access,7416.19,Web,Enugu,Feature Phone,0
TRX-1000217,2024-01-28 05:12:00,Kuda,12937.44,Mobile App,Port Harcourt,Feature Phone,0
TRX-1000218,2024-01-19 21:49:00,OPay,15005.5,Mobile App,Ibadan,Web,0
TRX-1000219,2024-01-30 21:08:00,GTBank,16416.29,USSD,Kano,Web,0
TRX-1000220,2024-01-27 10:36:00,Kuda,1155.87,Mobile App,Lagos,Web,0
TRX-1000221,2024-01-08 13:40:00,Kuda,19173.51,USSD,Abuja,Feature Phone,0
TRX-1000222,2024-01-23 09:33:00,Access,11921.47,POS,Kano,Android,0
TRX-1000223,2024-01-06 14:21:00,Zenith,13416.08,Web,Kano,iPhone,0
TRX-1000224,2024-01-12 07:10:00,GTBank,12966.55,POS,Enugu,Web,0
TRX-1000225,2024-01-02 02:42:00,OPay,424874.72,Web,Ibadan,Feature Phone,1
TRX-1000226,2024-01-03 17:12:00,Access,17305.96,Mobile App,Ibadan,Web,0
TRX-1000227,2024-01-08 10:33:00,OPay,402925.64,POS,Ibadan,Feature Phone,0
TRX-1000228,2024-01-25 17:42:00,GTBank,3225.64,Mobile App,Kano,Android,0
TRX-1000229,2024-01-02 12:00:00,Kuda,18544.99,USSD,Port Harcourt,Android,0
TRX-1000230,2024-01-23 02:20:00,Access,19686.87,Web,Enugu,Android,0
TRX-1000231,2024-01-07 01:22:00,Access,891.03,Web,Port Harcourt,iPhone,0
TRX-1000232,2024-01-16 01:44:00,Access,16614.97,Mobile App,Abuja,iPhone,0
TRX-1000233,2024-01-25 23:12:00,OPay,1001.17,USSD,Abuja,Web,0
TRX-1000234,2024-01-23 04:43:00,GTBank,18234.51,Mobile App,Kano,Android,0
TRX-1000235,2024-01-13 02:23:00,Kuda,1102.58,Web,Kano,iPhone,0
TRX-1000236,2024-01-16 22:52:00,Kuda,10084.12,POS,Ibadan,Android,0
TRX-1000237,2024-01-12 12:02:00,Access,11365.68,Web,Kano,Web,0
TRX-1000238,2024-01-02 12:27:00,Kuda,19606.43,Web,Abuja,Web,0
TRX-1000239,2024-01-28 16:18:00,OPay,4932.06,USSD,Enugu,Feature Phone,0
TRX-1000240,2024-01-07 11:32:00,Kuda,18580.33,POS,Abuja,Web,0
TRX-1000241,2024-01-02 09:17:00,Kuda,7990.69,USSD,Ibadan,iPhone,0
TRX-1000242,2024-01-16 22:36:00,Kuda,3814.15,USSD,Kano,Web,0
TRX-1000243,2024-01-25 12:14:00,OPay,16725.33,USSD,Enugu,Feature Phone,0
TRX-1000244,2024-01-12 20:26:00,Zenith,12388.71,Mobile App,Enugu,Feature Phone,0
TRX-1000245,2024-01-06 02:44:00,Kuda,14692.93,USSD,Kano,Android,0
TRX-1000246,2024-01-13 04:37:00,OPay,14960.17,POS,Kano,iPhone,0
TRX-1000247,2024-01-28 23:48:00,Kuda,12658.4,POS,Abuja,iPhone,0
TRX-1000248,2024-01-10 23:36:00,OPay,13452.44,Web,Port Harcourt,Android,0
TRX-1000249,2024-01-07 01:19:00,Moniepoint,15802.25,USSD,Ibadan,Feature Phone,0
TRX-1000250,2024-01-02 09:02:00,Zenith,7997.53,USSD,Abuja,Android,0
TRX-1000251,2024-01-29 03:18:00,Zenith,2505.6,USSD,Port Harcourt,iPhone,0
TRX-1000252,2024-01-21 18:16:00,Kuda,135079.63,POS,Port Harcourt,Web,0
TRX-1000253,2024-01-28 08:13:00,Kuda,11642.97,Mobile App,Kano,Android,0
TRX-1000254,2024-01-04 02:25:00,Kuda,424619.7,USSD,Port Harcourt,Feature Phone,1
TRX-1000255,2024-01-28 14:49:00,Moniepoint,4876.86,POS,Port Harcourt,iPhone,0
TRX-1000256,2024-01-10 11:45:00,GTBank,17900.23,POS,Lagos,Android,0
TRX-1000257,2024-01-06 05:11:00,Access,276994.36,POS,Port Harcourt,Feature Phone,0
TRX-1000258,2024-01-15 19:27:00,Zenith,390244.42,Mobile App,Abuja,Web,0
TRX-1000259,2024-01-08 09:56:00,Moniepoint,13163.19,USSD,Port Harcourt,Feature Phone,0
TRX-1000260,2024-01-24 10:25:00,Kuda,12040.7,Mobile App,Port Harcourt,Feature Phone,0
TRX-1000261,2024-01-03 22:51:00,GTBank,18554.15,POS,Abuja,iPhone,0
TRX-1000262,2024-01-15 14:34:00,Moniepoint,12702.1,Mobile App,Ibadan,Android,0
TRX-1000263,2024-01-28 03:48:00,Moniepoint,91638.53,POS,Abuja,Feature Phone,1
TRX-1000264,2024-01-30 12:13:00,Access,260586.01,Web,Abuja,Android,1
TRX-1000265,2024-01-24 00:02:00,Kuda,816.79,Web,Ibadan,Web,0
TRX-1000266,2024-01-20 16:52:00,OPay,1387.69,Mobile App,Kano,Web,0
TRX-1000267,2024-01-04 08:46:00,Moniepoint,12567.26,USSD,Port Harcourt,iPhone,0
TRX-1000268,2024-01-02 20:47:00,Access,3560.85,USSD,Abuja,Web,0
TRX-1000269,2024-01-04 17:33:00,Moniepoint,8207.75,POS,Kano,Feature Phone,0
TRX-1000270,2024-01-05 07:22:00,Zenith,1841.07,POS,Ibadan,Feature Phone,0
TRX-1000271,2024-01-24 06:03:00,Access,9586.45,POS,Lagos,Android,0
TRX-1000272,2024-01-01 09:01:00,Zenith,10151.52,POS,Abuja,iPhone,0
TRX-1000273,2024-01-27 14:39:00,Kuda,2161.63,Web,Abuja,Feature Phone,0
TRX-1000274,2024-01-04 16:59:00,Access,19923.76,Web,Enugu,Feature Phone,0
TRX-1000275,2024-01-22 13:56:00,GTBank,732.65,USSD,Lagos,Android,0
TRX-1000276,2024-01-04 06:03:00,OPay,12963.82,Web,Lagos,Feature Phone,0
TRX-1000277,2024-01-16 04:13:00,Zenith,16287.15,POS,Enugu,iPhone,0
TRX-1000278,2024-01-30 01:17:00,Access,16565.67,POS,Lagos,Feature Phone,0
TRX-1000279,2024-01-14 17:43:00,OPay,260078.45,Mobile App,Abuja,Web,0
TRX-1000280,2024-01-01 17:48:00,OPay,9184.28,USSD,Ibadan,Android,0
TRX-1000281,2024-01-29 14:30:00,OPay,161667.67,Web,Port Harcourt,Web,0
TRX-1000282,2024-01-07 03:57:00,Kuda,11796.96,Mobile App,Lagos,Web,0
TRX-1000283,2024-01-04 20:06:00,Zenith,146283.94,POS,Port Harcourt,Android,0
TRX-1000284,2024-01-05 22:19:00,OPay,19568.98,USSD,Lagos,Feature Phone,0
TRX-1000285,2024-01-05 09:26:00,OPay,60303.17,POS,Enugu,Feature Phone,0
TRX-1000286,2024-01-05 12:13:00,Kuda,464868.88,USSD,Kano,Feature Phone,0
TRX-1000287,2024-01-28 06:49:00,Zenith,10792.92,POS,Port Harcourt,Feature Phone,0
TRX-1000288,2024-01-07 10:22:00,Access,334125.17,Mobile App,Ibadan,Web,0
TRX-1000289,2024-01-11 16:35:00,GTBank,117404.12,POS,Ibadan,Feature Phone,0
TRX-1000290,2024-01-17 08:44:00,OPay,7763.57,USSD,Enugu,iPhone,0
TRX-1000291,2024-01-16 03:28:00,OPay,12032.9,Web,Enugu,iPhone,0
TRX-1000292,2024-01-27 06:18:00,OPay,10978.89,Mobile App,Ibadan,Web,0
TRX-1000293,2024-01-04 00:55:00,GTBank,16465.09,USSD,Enugu,Feature Phone,0
TRX-1000294,2024-01-01 04:33:00,Zenith,19402.34,Mobile App,Lagos,Feature Phone,0
TRX-1000295,2024-01-04 18:47:00,Zenith,16970.03,POS,Port Harcourt,Feature Phone,0
